sl_no,charger_code,station_name,charger_model,area,source_page,raw_text,parse_status
168,BESAC052200043,BESCOM East Circle Office,PENTA IEC 3.3kW,Unknown,5,168 BESAC052200043 BESCOM East Circle Office PENTA IEC 3.3kW,parsed
169,BESAC052200033,BESCOM E6 Domlur O&M,PENTA IEC 3.3kW,Unknown,5,169 BESAC052200033 BESCOM E6 Domlur O&M PENTA IEC 3.3kW,parsed
170,BESAC052200004,BESCOM Jangamakote Section,PENTA IEC 3.3kW,Unknown,5,170 BESAC052200004 BESCOM Jangamakote Section PENTA IEC 3.3kW,parsed
171,BESAC052200038,BESCOM Lingarajapuram,PENTA IEC 3.3kW,Unknown,5,171 BESAC052200038 BESCOM Lingarajapuram PENTA IEC 3.3kW,parsed
172,BESAC052200019,BESCOM Bendiganahalli Section,PENTA IEC 3.3kW,Unknown,5,172 BESAC052200019 BESCOM Bendiganahalli Section PENTA IEC 3.3kW,parsed
173,BESAC052200052,BESCOM Sidlaghatta Urban SDO,PENTA IEC 3.3kW,Unknown,5,173 BESAC052200052 BESCOM Sidlaghatta Urban SDO PENTA IEC 3.3kW,parsed
174,BESAC052200003,BESCOM Sidlaghatta Urban O&M1,PENTA IEC 3.3kW,Unknown,5,174 BESAC052200003 BESCOM Sidlaghatta Urban O&M1 PENTA IEC 3.3kW,parsed
175,BESAC052200037,BESCOM E5 Cooke Town SDO,PENTA IEC 3.3kW,Unknown,5,175 BESAC052200037 BESCOM E5 Cooke Town SDO PENTA IEC 3.3kW,parsed
176,BESAC052200044,BESCOM East Circle Office,PENTA IEC 3.3kW,Unknown,5,176 BESAC052200044 BESCOM East Circle Office PENTA IEC 3.3kW,parsed
177,BESAC052200030,BESCOM Doddaballapura Section 1&2,PENTA IEC 3.3kW,Unknown,5,177 BESAC052200030 BESCOM Doddaballapura Section 1&2 PENTA IEC 3.3kW,parsed
178,BESAC0522124,BESCOM N1-Rajajinagara SDO,EVRE-WX-3.3KW,Rajajinagar,5,178 BESAC0522124 BESCOM N1-Rajajinagara SDO EVRE-WX-3.3KW,parsed
179,BESAC0522125,BESCOM N1-Rajajinagara SDO,EVRE-WX-3.3KW,Rajajinagar,5,179 BESAC0522125 BESCOM N1-Rajajinagara SDO EVRE-WX-3.3KW,parsed
180,BESAC052200081,BESCOM Mahadevpura,PENTA IEC 3.3kW,Mahadevpura,5,180 BESAC052200081 BESCOM Mahadevpura PENTA IEC 3.3kW,parsed
181,BESAC052200080,BESCOM W3 Goripalya O&M,PENTA IEC 3.3kW,Unknown,5,181 BESAC052200080 BESCOM W3 Goripalya O&M PENTA IEC 3.3kW,parsed
182,BESAC052200078,BESCOM Corporate Office,PENTA IEC 3.3kW,Unknown,5,182 BESAC052200078 BESCOM Corporate Office PENTA IEC 3.3kW,parsed
183,BESAC052200028,BESCOM Tubegere section office,PENTA IEC 3.3kW,Unknown,5,183 BESAC052200028 BESCOM Tubegere section office PENTA IEC 3.3kW,parsed
184,BESAC052200089,BESCOM Peenya Division,PENTA IEC 3.3kW,Peenya,5,184 BESAC052200089 BESCOM Peenya Division PENTA IEC 3.3kW,parsed
185,BESAC052200035,BESCOM E10 Benniganahalli SDO,PENTA IEC 3.3kW,Unknown,5,185 BESAC052200035 BESCOM E10 Benniganahalli SDO PENTA IEC 3.3kW,parsed
186,BESAC052200073,BESCOM Peenya,PENTA IEC 3.3kW,Peenya,5,186 BESAC052200073 BESCOM Peenya PENTA IEC 3.3kW,parsed
187,BESAC052200039,BESCOM Banaswadi,PENTA IEC 3.3kW,Unknown,5,187 BESAC052200039 BESCOM Banaswadi PENTA IEC 3.3kW,parsed
188,BESAC052200040,BESCOM E8 Hanumanthanagar O&M,PENTA IEC 3.3kW,Unknown,5,188 BESAC052200040 BESCOM E8 Hanumanthanagar O&M PENTA IEC 3.3kW,parsed
189,BESAC052200067,BESCOM C8 Jakkur O&M,PENTA IEC 3.3kW,Unknown,5,189 BESAC052200067 BESCOM C8 Jakkur O&M PENTA IEC 3.3kW,parsed
190,BESAC052200083,BESCOM E7 KRPura SDO,PENTA IEC 3.3kW,Unknown,5,190 BESAC052200083 BESCOM E7 KRPura SDO PENTA IEC 3.3kW,parsed
191,BESAC052200045,BESCOM Tannery Road SDO,PENTA IEC 3.3kW,Unknown,5,191 BESAC052200045 BESCOM Tannery Road SDO PENTA IEC 3.3kW,parsed
192,BESAC052200018,BESCOM Hosakote Division,PENTA IEC 3.3kW,Unknown,5,192 BESAC052200018 BESCOM Hosakote Division PENTA IEC 3.3kW,parsed
193,BESAC052200077,BESCOM E2 Tasker Town O&M,PENTA IEC 3.3kW,Unknown,6,193 BESAC052200077 BESCOM E2 Tasker Town O&M PENTA IEC 3.3kW,parsed
194,BESAC052200076,BESCOM E2 Tasker Town O&M,PENTA IEC 3.3kW,Unknown,6,194 BESAC052200076 BESCOM E2 Tasker Town O&M PENTA IEC 3.3kW,parsed
195,BESAC0522143,BESCOM N10 Moodalapalya SDO,EVRE-WX-3.3KW,Unknown,6,195 BESAC0522143 BESCOM N10 Moodalapalya SDO EVRE-WX-3.3KW,parsed
196,BESAC0522144,BESCOM N10 Moodalapalya SDO,EVRE-WX-3.3KW,Unknown,6,196 BESAC0522144 BESCOM N10 Moodalapalya SDO EVRE-WX-3.3KW,parsed
197,BESAC052200070,BESCOM Mathikere,PENTA IEC 3.3kW,Unknown,6,197 BESAC052200070 BESCOM Mathikere PENTA IEC 3.3kW,parsed
198,BESAC052200058,BESCOM Kolar Rural SDO,PENTA IEC 3.3kW,Unknown,6,198 BESAC052200058 BESCOM Kolar Rural SDO PENTA IEC 3.3kW,parsed
199,BESAC0522138,BESCOM N8 Mallathahalli SDO,EVRE-WX-3.3KW,Unknown,6,199 BESAC0522138 BESCOM N8 Mallathahalli SDO EVRE-WX-3.3KW,parsed
200,BESAC0522137,BESCOM N8 Mallathahalli SDO,EVRE-WX-3.3KW,Unknown,7,200 BESAC0522137 BESCOM N8 Mallathahalli SDO EVRE-WX-3.3KW,parsed
201,BESAC052200008,BESCOM KGF LM Quarters,PENTA IEC 3.3kW,Unknown,7,201 BESAC052200008 BESCOM KGF LM Quarters PENTA IEC 3.3kW,parsed
202,BESAC052200046,BESCOM Gowribidanur SDO,PENTA IEC 3.3kW,Unknown,7,202 BESAC052200046 BESCOM Gowribidanur SDO PENTA IEC 3.3kW,parsed
203,BESAC052200036,BESCOM E11 Ramamurthy Nagar SDO,PENTA IEC 3.3kW,Unknown,7,203 BESAC052200036 BESCOM E11 Ramamurthy Nagar SDO PENTA IEC 3.3kW,parsed
204,BESAC052200047,BESCOM Bagepally SDO,PENTA IEC 3.3kW,Unknown,7,204 BESAC052200047 BESCOM Bagepally SDO PENTA IEC 3.3kW,parsed
205,BESAC052200094,BESCOM Jigani Section (KIADB),PENTA IEC 3.3kW,Unknown,7,205 BESAC052200094 BESCOM Jigani Section (KIADB) PENTA IEC 3.3kW,parsed
206,BESAC052200082,BESCOM E4 Whitefield O&M,PENTA IEC 3.3kW,Whitefield,7,206 BESAC052200082 BESCOM E4 Whitefield O&M PENTA IEC 3.3kW,parsed
207,BESAC0522148,BESCOM Byatarayanapura,EVRE-WX-3.3KW,Unknown,7,207 BESAC0522148 BESCOM Byatarayanapura EVRE-WX-3.3KW,parsed
208,BESAC0522149,BESCOM Byatarayanapura,EVRE-WX-3.3KW,Unknown,7,208 BESAC0522149 BESCOM Byatarayanapura EVRE-WX-3.3KW,parsed
209,BESAC0522134,BESCOM Kumbalagodu O&M,EVRE-WX-3.3KW,Unknown,7,209 BESAC0522134 BESCOM Kumbalagodu O&M EVRE-WX-3.3KW,parsed
210,BESAC052200103,BESCOM Bidadi SDO,PENTA IEC 3.3kW,Unknown,7,210 BESAC052200103 BESCOM Bidadi SDO PENTA IEC 3.3kW,parsed
211,BESAC0522150,BESCOM W7 RR Nagara O&M No.20,EVRE-WX-3.3KW,Unknown,7,211 BESAC0522150 BESCOM W7 RR Nagara O&M No.20 EVRE-WX-3.3KW,parsed
212,BESAC0522127,BESCOM Archakara Layout O&M,EVRE-WX-3.3KW,Unknown,7,212 BESAC0522127 BESCOM Archakara Layout O&M EVRE-WX-3.3KW,parsed
213,BESAC0522126,BESCOM Archakara Layout O&M,EVRE-WX-3.3KW,Unknown,7,213 BESAC0522126 BESCOM Archakara Layout O&M EVRE-WX-3.3KW,parsed
214,BESAC052200088,BESCOM - Peenya SRS O&M,PENTA IEC 3.3kW,Peenya,7,214 BESAC052200088 BESCOM - Peenya SRS O&M PENTA IEC 3.3kW,parsed
215,BESAC052200101,BESCOM Ramanagara Division,PENTA IEC 3.3kW,Unknown,7,215 BESAC052200101 BESCOM Ramanagara Division PENTA IEC 3.3kW,parsed
216,BESAC052200100,BESCOM Kudur SDO,PENTA IEC 3.3kW,Unknown,7,216 BESAC052200100 BESCOM Kudur SDO PENTA IEC 3.3kW,parsed
217,BESAC0522153,BESCOM -RR Layout O&M,EVRE-WX-3.3KW,Unknown,7,217 BESAC0522153 BESCOM -RR Layout O&M EVRE-WX-3.3KW,parsed
218,BESAC0522152,BESCOM -RR Layout O&M,EVRE-WX-3.3KW,Unknown,7,218 BESAC0522152 BESCOM -RR Layout O&M EVRE-WX-3.3KW,parsed
219,BESAC0522151,BESCOM Papareddy Palya (O&M Office),EVRE-WX-3.3KW,Unknown,7,219 BESAC0522151 BESCOM Papareddy Palya (O&M Office) EVRE-WX-3.3KW,parsed
220,BESAC0522128,BESCOM WEST Circle Office,EVRE-WX-3.3KW,Unknown,7,220 BESAC0522128 BESCOM WEST Circle Office EVRE-WX-3.3KW,parsed
221,BESAC0522135,BESCOM N2 KHB COLONY SDO,EVRE-WX-3.3KW,Unknown,7,221 BESAC0522135 BESCOM N2 KHB COLONY SDO EVRE-WX-3.3KW,parsed
222,BESAC0522136,BESCOM N2 KHB COLONY SDO,EVRE-WX-3.3KW,Unknown,7,222 BESAC0522136 BESCOM N2 KHB COLONY SDO EVRE-WX-3.3KW,parsed
223,BESAC0522141,BESCOM - Kaggalipura SDO,EVRE-WX-3.3KW,Unknown,7,223 BESAC0522141 BESCOM - Kaggalipura SDO EVRE-WX-3.3KW,parsed
224,BESAC0522142,BESCOM - Kaggalipura SDO,EVRE-WX-3.3KW,Unknown,7,224 BESAC0522142 BESCOM - Kaggalipura SDO EVRE-WX-3.3KW,parsed
225,BESAC0522147,BESCOM W2 Chamarajpet SDO,EVRE-WX-3.3KW,Unknown,7,225 BESAC0522147 BESCOM W2 Chamarajpet SDO EVRE-WX-3.3KW,parsed
226,BESAC052200068,BESCOM -Vidyaranyapura SDO,PENTA IEC 3.3kW,Unknown,7,226 BESAC052200068 BESCOM -Vidyaranyapura SDO PENTA IEC 3.3kW,parsed
227,BESAC052200092,BESCOM Bannerughatta Section,PENTA IEC 3.3kW,Unknown,7,227 BESAC052200092 BESCOM Bannerughatta Section PENTA IEC 3.3kW,parsed
228,BESAC052200001,BESCOM Kannamangala Section,PENTA IEC 3.3kW,Unknown,7,228 BESAC052200001 BESCOM Kannamangala Section PENTA IEC 3.3kW,parsed
229,BESAC052200023,BESCOM Nelamangala SDO,PENTA IEC 3.3kW,Unknown,7,229 BESAC052200023 BESCOM Nelamangala SDO PENTA IEC 3.3kW,parsed
230,BESAC052200012,BESCOM Kodihalli Section,PENTA IEC 3.3kW,Unknown,7,230 BESAC052200012 BESCOM Kodihalli Section PENTA IEC 3.3kW,parsed
231,BESAC052200048,BESCOM Gudibande SDO,PENTA IEC 3.3kW,Unknown,7,231 BESAC052200048 BESCOM Gudibande SDO PENTA IEC 3.3kW,parsed
232,BESAC052200095,BESCOM Kanakapura Division office,PENTA IEC 3.3kW,Unknown,7,232 BESAC052200095 BESCOM Kanakapura Division office PENTA IEC 3.3kW,parsed
233,BESAC052200051,BESCOM Chintamani Urban SDO,PENTA IEC 3.3kW,Unknown,7,233 BESAC052200051 BESCOM Chintamani Urban SDO PENTA IEC 3.3kW,parsed
234,BESAC052200069,BESCOM Jalahalli SDO,PENTA IEC 3.3kW,Unknown,7,234 BESAC052200069 BESCOM Jalahalli SDO PENTA IEC 3.3kW,parsed
235,BESAC052200060,BESCOM Srinivasapura SDO,PENTA IEC 3.3kW,Unknown,7,235 BESAC052200060 BESCOM Srinivasapura SDO PENTA IEC 3.3kW,parsed
236,BESAC052200054,BESCOM Bangarpet SDO,PENTA IEC 3.3kW,Unknown,7,236 BESAC052200054 BESCOM Bangarpet SDO PENTA IEC 3.3kW,parsed
237,BESAC052200057,BESCOM Mulabagal SDO,PENTA IEC 3.3kW,Unknown,7,237 BESAC052200057 BESCOM Mulabagal SDO PENTA IEC 3.3kW,parsed
238,BESAC052200050,BESCOM Chikkaballapura Division,PENTA IEC 3.3kW,Unknown,7,238 BESAC052200050 BESCOM Chikkaballapura Division PENTA IEC 3.3kW,parsed
239,BESAC052200002,BESCOM CBPura Rural SDO,PENTA IEC 3.3kW,Unknown,8,239 BESAC052200002 BESCOM CBPura Rural SDO PENTA IEC 3.3kW,parsed
240,BESAC052200017,BESCOM Avati Section,PENTA IEC 3.3kW,Unknown,8,240 BESAC052200017 BESCOM Avati Section PENTA IEC 3.3kW,parsed
241,BESAC052200014,BESCOM Bannikuppe Section,PENTA IEC 3.3kW,Unknown,8,241 BESAC052200014 BESCOM Bannikuppe Section PENTA IEC 3.3kW,parsed
242,BESAC052200007,BESCOM Chikka Tirupati LM Quarters,PENTA IEC 3.3kW,Unknown,8,242 BESAC052200007 BESCOM Chikka Tirupati LM Quarters PENTA IEC 3.3kW,parsed
243,BESAC052200013,BESCOM BESCOM Training Institute,PENTA IEC 3.3kW,Unknown,8,243 BESAC052200013 BESCOM BESCOM Training Institute PENTA IEC 3.3kW,parsed
244,BESAC052200097,BESCOM Harohalli Section,PENTA IEC 3.3kW,Unknown,8,244 BESAC052200097 BESCOM Harohalli Section PENTA IEC 3.3kW,parsed
245,BESAC052200096,BESCOM Maralawadi Section,PENTA IEC 3.3kW,Unknown,8,245 BESAC052200096 BESCOM Maralawadi Section PENTA IEC 3.3kW,parsed
246,BESAC052200104,BESCOM Channapatna Urban Section 2,PENTA IEC 3.3kW,Unknown,8,246 BESAC052200104 BESCOM Channapatna Urban Section 2 PENTA IEC 3.3kW,parsed
247,BESAC052200015,BESCOM Honganuru Section,PENTA IEC 3.3kW,Unknown,8,247 BESAC052200015 BESCOM Honganuru Section PENTA IEC 3.3kW,parsed
248,BESAC052200102,BESCOM Channapatna Urban SDO,PENTA IEC 3.3kW,Unknown,8,248 BESAC052200102 BESCOM Channapatna Urban SDO PENTA IEC 3.3kW,parsed
249,BESAC052200099,BESCOM Tavarekere SDO,PENTA IEC 3.3kW,Unknown,8,249 BESAC052200099 BESCOM Tavarekere SDO PENTA IEC 3.3kW,parsed
250,BESAC052200066,BESCOM C7 Rajanukunte O&M,PENTA IEC 3.3kW,Unknown,8,250 BESAC052200066 BESCOM C7 Rajanukunte O&M PENTA IEC 3.3kW,parsed
251,BESAC052200098,BESCOM Magadi Division,PENTA IEC 3.3kW,Unknown,8,251 BESAC052200098 BESCOM Magadi Division PENTA IEC 3.3kW,parsed
252,BESAC052200032,BESCOM E3 MG Road SDO,PENTA IEC 3.3kW,MG Road,8,252 BESAC052200032 BESCOM E3 MG Road SDO PENTA IEC 3.3kW,parsed
253,BESAC052200031,BESCOM E3 MG Road SDO,PENTA IEC 3.3kW,MG Road,8,253 BESAC052200031 BESCOM E3 MG Road SDO PENTA IEC 3.3kW,parsed
254,BESAC052200062,BESCOM Yalhanka,PENTA IEC 3.3kW,Yelahanka,8,254 BESAC052200062 BESCOM Yalhanka PENTA IEC 3.3kW,parsed
255,BESAC052200090,BESCOM Peenya Division,PENTA IEC 3.3kW,Peenya,8,255 BESAC052200090 BESCOM Peenya Division PENTA IEC 3.3kW,parsed
256,BESAC052200079,BESCOM Corporate Office,PENTA IEC 3.3kW,Unknown,8,256 BESAC052200079 BESCOM Corporate Office PENTA IEC 3.3kW,parsed
257,BESAC052200063,BESCOM C8 Sahakarnagar O&M,PENTA IEC 3.3kW,Unknown,8,257 BESAC052200063 BESCOM C8 Sahakarnagar O&M PENTA IEC 3.3kW,parsed
258,BESAC052200022,BESCOM Budhigere Section,PENTA IEC 3.3kW,Unknown,8,258 BESAC052200022 BESCOM Budhigere Section PENTA IEC 3.3kW,parsed
259,BESAC052200026,BESCOM Kanaswadi section office,PENTA IEC 3.3kW,Unknown,8,259 BESAC052200026 BESCOM Kanaswadi section office PENTA IEC 3.3kW,parsed
260,BESAC052200021,BESCOM Devanahalli SDO,PENTA IEC 3.3kW,Unknown,8,260 BESAC052200021 BESCOM Devanahalli SDO PENTA IEC 3.3kW,parsed
261,BESAC052200024,BESCOM Doddaballapura Rural SDO,PENTA IEC 3.3kW,Unknown,8,261 BESAC052200024 BESCOM Doddaballapura Rural SDO PENTA IEC 3.3kW,parsed
262,BESAC052200105,BESCOM BESCOM Training Institute,PENTA IEC 3.3kW,Unknown,8,262 BESAC052200105 BESCOM BESCOM Training Institute PENTA IEC 3.3kW,parsed
263,BESAC0722154,"BESCOM TUMKUR CSD-2, OFFICE",EVRE-WX-3.3KW,Unknown,8,"263 BESAC0722154 BESCOM TUMKUR CSD-2, OFFICE EVRE-WX-3.3KW",parsed
264,BESAC0722156,BESCOM Kyathsandra SDO,EVRE-WX-3.3KW,Unknown,8,264 BESAC0722156 BESCOM Kyathsandra SDO EVRE-WX-3.3KW,parsed
265,BESAC0722160,BESCOM Channagiri O&M,EVRE-WX-3.3KW,Unknown,8,265 BESAC0722160 BESCOM Channagiri O&M EVRE-WX-3.3KW,parsed
266,BESAC0722162,BESCOM Pavagada SDO,EVRE-WX-3.3KW,Unknown,8,266 BESAC0722162 BESCOM Pavagada SDO EVRE-WX-3.3KW,parsed
267,BESAC0722164,BESCOM Madhugiri Division,EVRE-WX-3.3KW,Unknown,8,267 BESAC0722164 BESCOM Madhugiri Division EVRE-WX-3.3KW,parsed
268,BESAC0722159,BESCOM Yadiyur SDO,EVRE-WX-3.3KW,Unknown,8,268 BESAC0722159 BESCOM Yadiyur SDO EVRE-WX-3.3KW,parsed
269,BESAC0722166,BESCOM Hiriyuru O&M,EVRE-WX-3.3KW,Unknown,8,269 BESAC0722166 BESCOM Hiriyuru O&M EVRE-WX-3.3KW,parsed
270,BESAC0722170,BESCOM Sira RSD,EVRE-WX-3.3KW,Unknown,8,270 BESAC0722170 BESCOM Sira RSD EVRE-WX-3.3KW,parsed
271,BESAC0722168,BESCOM Nyamathi SDO,EVRE-WX-3.3KW,Unknown,8,271 BESAC0722168 BESCOM Nyamathi SDO EVRE-WX-3.3KW,parsed
272,BESAC0722171,BESCOM Koratagere SDO,EVRE-WX-3.3KW,Unknown,8,272 BESAC0722171 BESCOM Koratagere SDO EVRE-WX-3.3KW,parsed
273,BESAC0722163,BESCOM Kodigenahalli SDO,EVRE-WX-3.3KW,Unknown,8,273 BESAC0722163 BESCOM Kodigenahalli SDO EVRE-WX-3.3KW,parsed
274,BESAC0722173,BESCOM Harapanahalli SDO,EVRE-WX-3.3KW,Unknown,9,274 BESAC0722173 BESCOM Harapanahalli SDO EVRE-WX-3.3KW,parsed
275,BESAC0722155,BESCOM Davanagere SDO,EVRE-WX-3.3KW,Unknown,9,275 BESAC0722155 BESCOM Davanagere SDO EVRE-WX-3.3KW,parsed
276,BESAC0722175,BESCOM Harihara SDO,EVRE-WX-3.3KW,Unknown,9,276 BESAC0722175 BESCOM Harihara SDO EVRE-WX-3.3KW,parsed
277,BESAC0722176,BESCOM Jagaluru SDO,EVRE-WX-3.3KW,Unknown,9,277 BESAC0722176 BESCOM Jagaluru SDO EVRE-WX-3.3KW,parsed
278,BESAC0722177,BESCOM Tumkur RSD,EVRE-WX-3.3KW,Unknown,9,278 BESAC0722177 BESCOM Tumkur RSD EVRE-WX-3.3KW,parsed
279,BESAC0722172,BESCOM Davangere Circle,EVRE-WX-3.3KW,Unknown,9,279 BESAC0722172 BESCOM Davangere Circle EVRE-WX-3.3KW,parsed
280,BESAC0722157,BESCOM Tumkur Division,EVRE-WX-3.3KW,Unknown,9,280 BESAC0722157 BESCOM Tumkur Division EVRE-WX-3.3KW,parsed
281,BESAC0722161,BESCOM Kunigal Division,EVRE-WX-3.3KW,Unknown,9,281 BESAC0722161 BESCOM Kunigal Division EVRE-WX-3.3KW,parsed
282,BESAC0722158,BESCOM Huliyurdurga SDO,EVRE-WX-3.3KW,Unknown,9,282 BESAC0722158 BESCOM Huliyurdurga SDO EVRE-WX-3.3KW,parsed
283,BESAC0522129,BESCOM Avalahalli (W1 SDO),EVRE-WX-3.3KW,Unknown,9,283 BESAC0522129 BESCOM Avalahalli (W1 SDO) EVRE-WX-3.3KW,parsed
284,BESAC0722183,"BESCOM Srirampura O&M, Dvg",EVRE-WX-3.3KW,Unknown,9,"284 BESAC0722183 BESCOM Srirampura O&M, Dvg EVRE-WX-3.3KW",parsed
285,BESAC0722181,BESCOM Hollakere SDO,EVRE-WX-3.3KW,Unknown,9,285 BESAC0722181 BESCOM Hollakere SDO EVRE-WX-3.3KW,parsed
286,BESAC0722179,BESCOM Challkere SDO,EVRE-WX-3.3KW,Unknown,9,286 BESAC0722179 BESCOM Challkere SDO EVRE-WX-3.3KW,parsed
287,BESAC0722178,BESCOM Molakalmuru SDO,EVRE-WX-3.3KW,Unknown,9,287 BESAC0722178 BESCOM Molakalmuru SDO EVRE-WX-3.3KW,parsed
288,BESAC0722169,BESCOM Turuvekere SDO,EVRE-WX-3.3KW,Unknown,9,288 BESAC0722169 BESCOM Turuvekere SDO EVRE-WX-3.3KW,parsed
289,BESAC0722167,BESCOM Tiptur Division,EVRE-WX-3.3KW,Unknown,9,289 BESAC0722167 BESCOM Tiptur Division EVRE-WX-3.3KW,parsed
290,BESKABLRAC00004,BESCOM Katriguppe,IECAC10KW,Unknown,9,290 BESKABLRAC00004 BESCOM Katriguppe IECAC10KW,parsed
291,BESKABLRAC00101,BESCOM Shettihalli O&M,IECAC10KW,Unknown,9,291 BESKABLRAC00101 BESCOM Shettihalli O&M IECAC10KW,parsed
292,BESKABLRAC00072,BESCOM Chikkalasandra O&M,IECAC10KW,Unknown,9,292 BESKABLRAC00072 BESCOM Chikkalasandra O&M IECAC10KW,parsed
293,BESKABLRAC00086,RTO Jnanabharti,IECAC10KW,Unknown,9,293 BESKABLRAC00086 RTO Jnanabharti IECAC10KW,parsed
294,BESKABLRAC00085,RTO Jnanabharti,IECAC10KW,Unknown,9,294 BESKABLRAC00085 RTO Jnanabharti IECAC10KW,parsed
295,BESAC0522139,BESCOM N8 Mallathahalli SDO,EVRE-WX-3.3KW,Unknown,9,295 BESAC0522139 BESCOM N8 Mallathahalli SDO EVRE-WX-3.3KW,parsed
296,BESAC0522140,BESCOM N8 Mallathahalli SDO,EVRE-WX-3.3KW,Unknown,9,296 BESAC0522140 BESCOM N8 Mallathahalli SDO EVRE-WX-3.3KW,parsed
297,BESAC0522145,BESCOM Herohalli O&M,EVRE-WX-3.3KW,Unknown,9,297 BESAC0522145 BESCOM Herohalli O&M EVRE-WX-3.3KW,parsed
298,BESAC0522146,BESCOM Herohalli O&M,EVRE-WX-3.3KW,Unknown,9,298 BESAC0522146 BESCOM Herohalli O&M EVRE-WX-3.3KW,parsed
299,BESACO522132,BESCOM Murugeshpalya,EVRE-WX-3.3KW,Unknown,9,299 BESACO522132 BESCOM Murugeshpalya EVRE-WX-3.3KW,parsed
300,BESACO522130,BESCOM HAL O&M,EVRE-WX-3.3KW,Unknown,9,300 BESACO522130 BESCOM HAL O&M EVRE-WX-3.3KW,parsed
301,BESACO522131,BESCOM Avalahalli (W1 SDO),EVRE-WX-3.3KW,Unknown,9,301 BESACO522131 BESCOM Avalahalli (W1 SDO) EVRE-WX-3.3KW,parsed
302,BESACO522133,BESCOM Kundalahalli O&M,EVRE-WX-3.3KW,Unknown,9,302 BESACO522133 BESCOM Kundalahalli O&M EVRE-WX-3.3KW,parsed
303,BESAC1222004,BESCOM HSR Division Office E-FILL_Smart Plug V1,,HSR Layout,9,303 BESAC1222004 BESCOM HSR Division Office E-FILL_Smart Plug V1,partial
304,BESAC1222005,BESCOM HSR Division Office E-FILL_Smart Plug V1,,HSR Layout,9,304 BESAC1222005 BESCOM HSR Division Office E-FILL_Smart Plug V1,partial
305,BESAC1222006,BESCOM HSR Division Office E-FILL_Smart Plug V1,,HSR Layout,9,305 BESAC1222006 BESCOM HSR Division Office E-FILL_Smart Plug V1,partial
306,BESAC1222013,BESCOM S-13 SDO (AECS Layout Singasandra) E-FILL_Smart Plug V1,,Unknown,9,306 BESAC1222013 BESCOM S-13 SDO (AECS Layout Singasandra) E-FILL_Smart Plug V1,partial
307,BESAC0722182,BESCOM Hosadurga SDO,EVRE-WX-3.3KW,Unknown,9,307 BESAC0722182 BESCOM Hosadurga SDO EVRE-WX-3.3KW,parsed
308,BESAC0722180,BESCOM Chitradurga Division,EVRE-WX-3.3KW,Unknown,9,308 BESAC0722180 BESCOM Chitradurga Division EVRE-WX-3.3KW,parsed
309,BESAC0722165,BESCOM Honnali SDO,EVRE-WX-3.3KW,Unknown,9,309 BESAC0722165 BESCOM Honnali SDO EVRE-WX-3.3KW,parsed
310,BESAC0722174,BESCOM Gubbi SDO,EVRE-WX-3.3KW,Unknown,9,310 BESAC0722174 BESCOM Gubbi SDO EVRE-WX-3.3KW,parsed
